flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-04-19,scheduled,,,Broome,Australia/Perth,BME,YBRM,,,,2026-04-19T17:00:00+00:00,2026-04-19T17:00:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,,,2026-04-18T22:47:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,landed,,,Alice Springs,Australia/Darwin,ASP,YBAS,,,,2026-04-19T10:00:00+00:00,2026-04-19T10:00:00+00:00,2026-04-18T11:02:00+00:00,2026-04-18T11:02:00+00:00,2026-04-18T11:02:00+00:00,Forest Hill,Australia/Sydney,WGA,YSWG,,,,2026-04-18T15:51:00+00:00,,2026-04-18T15:28:00+00:00,2026-04-18T15:25:00+00:00,2026-04-18T15:25:00+00:00,2026-04-18T15:25:00+00:00,empty,,,,,,,,,,7C79FD,,,,,,,,,,,,,,
2026-04-19,,,,Snake Bay,Australia/Darwin,SNB,YSNK,,,,2026-04-19T09:00:00+00:00,2026-04-19T09:00:00+00:00,,,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-04-18T09:46:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-18,scheduled,,,S. Jeronimo,America/Bogota,MTR,SKMR,,,,2026-04-18T07:15:00+00:00,2026-04-18T07:15:00+00:00,,,,Enrique Olaya Herrera International Airport,America/Bogota,EOH,SKMD,,,,2026-04-18T08:15:00+00:00,,,,,,Clic,VE,EFY,8981,VE8981,EFY8981,,,,,,,,,,,,,,,,,,,
2026-04-18,scheduled,,,S. Jeronimo,America/Bogota,MTR,SKMR,,,,2026-04-18T07:15:00+00:00,2026-04-18T07:15:00+00:00,,,,Enrique Olaya Herrera International Airport,America/Bogota,EOH,SKMD,,,,2026-04-18T08:15:00+00:00,,,,,,,A1,A1,5489,A15489,A15489,,,,,,clic,ve,efy,8981,ve8981,efy8981,,,,,,,,
2026-04-18,scheduled,,,Puerto Jimenez,America/Costa_Rica,PJM,MRPJ,,,,2026-04-18T06:45:00+00:00,2026-04-18T06:45:00+00:00,,,,Golfito,America/Costa_Rica,GLF,MRGF,,,,2026-04-18T07:00:00+00:00,,,,,,empty,,,3222,,,,,,,,,,,,,,,,,,,,,
2026-04-18,scheduled,,,Puerto Jimenez,America/Costa_Rica,PJM,MRPJ,,,,2026-04-18T06:45:00+00:00,2026-04-18T06:45:00+00:00,,,,Golfito,America/Costa_Rica,GLF,MRGF,,,,2026-04-18T07:00:00+00:00,,,,,,SANSA,RZ,LRS,1132,RZ1132,LRS1132,,,,,,,,,,,,,,,,,,,
2026-04-18,scheduled,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,J,,2026-04-18T16:00:00+00:00,2026-04-18T16:00:00+00:00,,,,Guiyang,Asia/Shanghai,KWE,ZUGY,3,,15,2026-04-18T19:25:00+00:00,,,,,,Shandong Airlines,SC,CDG,5051,SC5051,CDG5051,,,,,78092E,dalian airlines,,ccd,1463,,ccd1463,,,,,,,,
2026-04-18,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A17,,2026-04-18T16:05:00+00:00,2026-04-18T16:05:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,2,,,2026-04-18T18:35:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9608,GA9608,GIA9608,,,,,,vietnam airlines,vn,hvn,662,vn662,hvn662,,,,,,,,
2026-04-18,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,4,,2026-04-18T16:00:00+00:00,2026-04-18T16:00:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,1,,,2026-04-18T20:50:00+00:00,,,,,,Singapore Airlines,SQ,SIA,5880,SQ5880,SIA5880,,,,,,air china,ca,cca,404,ca404,cca404,,,,,,,,
