flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_walk_time_min,terminal_transport_method,connection_time_min,dep_sched,arr_sched,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min,required_time_min,time_margin_min
0,38,1,371,192,374,17,204,112,10,19,69.0,192,204,111.0,22,6,0,3,1,1,1,0,1,1,1,2,10,16.0,30.0,3,10,69.0,-16.0
1,36,1,384,296,480,27,363,180,5,35,96.0,296,362,65.0,10,0,1,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,10.0
1,36,1,382,295,163,2,364,34,5,35,75.0,295,363,75.0,10,0,1,1,1,0,0,1,0,1,2,0,5,20.0,0.0,15,10,50.0,19.0
0,27,0,249,195,387,14,198,201,5,33,65.0,195,198,95.0,22,6,1,1,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10,34.0,20.0
1,8,3,365,283,444,0,362,193,8,19,112.0,283,361,125.0,9,0,1,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10,108.0,-18.0
0,28,9,119,142,128,15,270,138,5,33,112.0,142,270,493.0,21,6,2,1,1,1,1,1,1,1,0,0,5,30.0,45.0,15,10,105.0,3.0
0,15,13,284,218,348,2,248,44,4,2,106.0,218,248,249.0,23,6,2,2,1,0,0,0,1,1,1,1,4,16.0,0.0,3,10,33.0,61.0
1,34,24,436,380,165,16,467,144,6,33,63.0,380,460,70.0,17,0,0,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-13.0
1,41,1,286,341,204,6,459,121,10,20,120.0,341,451,230.0,14,0,2,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10,48.0,65.0
1,9,0,436,350,32,0,456,74,6,33,99.0,350,450,175.0,15,0,2,1,1,0,0,0,0,1,2,2,6,20.0,0.0,8,10,44.0,40.0
0,42,0,436,69,6,0,77,96,8,19,82.0,69,77,120.0,16,6,0,3,1,0,0,0,0,1,2,0,8,20.0,0.0,8,10,46.0,5.0
0,38,24,436,166,24,27,159,187,8,18,112.0,166,159,79.0,21,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10,108.0,2.0
1,29,18,436,254,209,27,380,179,5,16,86.0,254,377,355.0,6,0,1,2,1,0,0,1,1,1,2,0,5,20.0,0.0,15,10,50.0,18.0
1,18,0,16,335,422,27,437,158,5,6,103.0,335,431,170.0,13,0,0,2,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10,73.0,5.0
0,38,5,393,133,107,12,168,33,8,18,110.0,133,168,158.0,20,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10,108.0,2.0
1,9,1,436,353,417,2,431,149,12,19,104.0,353,424,45.0,15,0,2,3,1,0,0,0,0,1,2,2,12,20.0,0.0,8,10,50.0,39.0
