flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
0,38,1,371,192,374,17,204,112,2000,10,19,69.0,16.0,111.0,22,6,0,3,1,1,1,0,1,1,1,2,10,16.0,30.0,3,10
1,36,1,384,296,480,27,363,180,400,5,35,96.0,26.0,65.0,10,0,1,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,36,1,382,295,163,2,364,34,400,5,35,75.0,6.0,75.0,10,0,1,1,1,0,0,1,0,1,2,0,5,20.0,0.0,15,10
0,27,0,249,195,387,14,198,201,400,5,33,65.0,11.0,95.0,22,6,1,1,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10
1,8,3,365,283,444,0,362,193,1200,8,19,112.0,22.0,125.0,9,0,1,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10
0,28,9,119,142,128,15,270,138,350,5,33,112.0,4.0,493.0,21,6,2,1,1,1,1,1,1,1,0,0,5,30.0,45.0,15,10
0,15,13,284,218,348,2,248,44,800,4,2,106.0,12.0,249.0,23,6,2,2,1,0,0,0,1,1,1,1,4,16.0,0.0,3,10
1,34,24,436,380,165,16,467,144,500,6,33,63.0,15.0,70.0,17,0,0,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
1,41,1,286,341,204,6,459,121,2500,10,20,120.0,7.0,230.0,14,0,2,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10
1,9,0,436,350,32,0,456,74,500,6,33,99.0,15.0,175.0,15,0,2,1,1,0,0,0,0,1,2,2,6,20.0,0.0,8,10
0,42,0,436,69,6,0,77,96,2000,8,19,82.0,31.0,120.0,16,6,0,3,1,0,0,0,0,1,2,0,8,20.0,0.0,8,10
0,38,24,436,166,24,27,159,187,700,8,18,112.0,2.0,79.0,21,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10
1,29,18,436,254,209,27,380,179,1100,5,16,86.0,18.0,355.0,6,0,1,2,1,0,0,1,1,1,2,0,5,20.0,0.0,15,10
1,18,0,16,335,422,27,437,158,700,5,6,103.0,25.0,170.0,13,0,0,2,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10
0,38,5,393,133,107,12,168,33,700,8,18,110.0,0.0,158.0,20,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10
1,9,1,436,353,417,2,431,149,3000,12,19,104.0,15.0,45.0,15,0,2,3,1,0,0,0,0,1,2,2,12,20.0,0.0,8,10
1,3,0,208,290,182,27,355,88,300,4,33,66.0,7.0,65.0,9,0,1,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10
0,38,1,336,192,181,15,232,55,2000,10,19,111.0,15.0,183.0,22,6,2,3,1,1,1,0,1,1,2,2,10,20.0,30.0,3,10
0,28,5,75,168,23,21,264,110,350,5,33,109.0,11.0,428.0,21,6,2,1,1,1,1,1,1,1,0,0,5,30.0,45.0,15,10
1,19,0,35,377,279,16,474,47,2500,10,17,83.0,24.0,110.0,17,0,1,2,1,0,0,1,1,1,0,0,10,30.0,0.0,15,10
0,44,1,295,154,62,0,296,189,700,5,2,115.0,10.0,515.0,21,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,14,1,378,293,111,7,369,55,5000,15,19,148.0,3.0,110.0,10,0,2,3,1,1,1,1,1,1,0,0,15,30.0,45.0,15,10
1,5,0,28,301,105,0,395,194,4000,15,19,82.0,6.0,170.0,10,0,1,3,1,0,0,1,0,1,0,0,15,30.0,0.0,15,10
